id;name;slug;image;description;price;stock;available;created;updated;category_id
1;"Сотовый телефон 4GOOD S600M 3G 6,0"" IPS, 960*540, 8Gb, 1Gb RAM, 2Mp+0,3Mp";empty;none;none;5120;none;none;none;none;5
2;Сотовый телефон ALCATEL OT1016D Pure White 2sim;empty;none;none;816;none;none;none;none;5
